Bandwidth: 100 Mbit/s
RTT: 2000 ms
BDP: 25000000 B/s
Max In-Flight Packets: 19531
[server] starting server with pid 878130, port 18080, cc cubic, iw 32
[client_side_proxy] starting proxy with pid 878131, port 18081, cc cubic
[server][session 0] open
[client] connection establishment time: 4.004794 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:45861
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 8.062824 s
[client] second 30.006258: 61291896.984212 bit/s, bytes received: 766800 B, packets received: 632
[client] second 30.106280: 61330267.539795 bit/s, bytes received: 766800 B, packets received: 633
[client] second 30.206972: 877367.014677 bit/s, bytes received: 11043 B, packets received: 8
[client] second 30.307160: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 30.407344: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 30.507537: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 30.607549: 61631275.303917 bit/s, bytes received: 770481 B, packets received: 635
[client] second 30.707840: 61125640.643599 bit/s, bytes received: 766295 B, packets received: 632
[client] second 30.807874: 61323130.512224 bit/s, bytes received: 766800 B, packets received: 631
[client] second 30.908246: 61410352.821339 bit/s, bytes received: 770481 B, packets received: 635
[client] second 31.008322: 61493405.451113 bit/s, bytes received: 769254 B, packets received: 634
[client] second 31.108377: 61367840.767051 bit/s, bytes received: 767522 B, packets received: 632
[client] second 31.208686: 60763885.185039 bit/s, bytes received: 761892 B, packets received: 628
[client] second 31.308707: 61527271.296303 bit/s, bytes received: 769254 B, packets received: 634
[client] second 31.408839: 61124640.560136 bit/s, bytes received: 765068 B, packets received: 631
[client] second 31.509190: 61325166.784852 bit/s, bytes received: 769254 B, packets received: 634
[client] second 31.609222: 61324211.290259 bit/s, bytes received: 766800 B, packets received: 632
[client] second 31.709247: 61485118.072675 bit/s, bytes received: 768749 B, packets received: 632
[client] second 31.809272: 61132663.372569 bit/s, bytes received: 764346 B, packets received: 630
[client] second 31.910228: 54791413.302119 bit/s, bytes received: 691448 B, packets received: 570
[client] second 32.010541: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 32.110729: 0.000000 bit/s, bytes received: 0 B, packets received: 0
